date,product_id,units_sold
2024-12-24,P01,38
2024-12-24,P02,41
2024-12-24,P03,50
2024-12-24,P04,46
2024-12-24,P05,29
2024-12-24,P06,25
2024-12-24,P07,22
2024-12-24,P08,30
2024-12-24,P09,39
2024-12-24,P10,26
2024-12-24,P11,19
2024-12-24,P12,31
2024-12-25,P01,33
2024-12-25,P02,41
2024-12-25,P03,50
2024-12-25,P04,45
2024-12-25,P05,29
2024-12-25,P06,25
2024-12-25,P07,23
2024-12-25,P08,31
2024-12-25,P09,39
2024-12-25,P10,26
2024-12-25,P11,18
2024-12-25,P12,30
2024-12-26,P01,34
2024-12-26,P02,42
2024-12-26,P03,50
2024-12-26,P04,45
2024-12-26,P05,29
2024-12-26,P06,26
2024-12-26,P07,23
2024-12-26,P08,31
2024-12-26,P09,38
2024-12-26,P10,30
2024-12-26,P11,18
2024-12-26,P12,30
2024-12-27,P01,36
2024-12-27,P02,44
2024-12-27,P03,52
2024-12-27,P04,47
2024-12-27,P05,31
2024-12-27,P06,27
2024-12-27,P07,24
2024-12-27,P08,32
2024-12-27,P09,40
2024-12-27,P10,26
2024-12-27,P11,19
2024-12-27,P12,32
2024-12-28,P01,39
2024-12-28,P02,47
2024-12-28,P03,55
2024-12-28,P04,49
2024-12-28,P05,33
2024-12-28,P06,30
2024-12-28,P07,26
2024-12-28,P08,34
2024-12-28,P09,42
2024-12-28,P10,27
2024-12-28,P11,20
2024-12-28,P12,34
2024-12-29,P01,39
2024-12-29,P02,47
2024-12-29,P03,55
2024-12-29,P04,49
2024-12-29,P05,33
2024-12-29,P06,30
2024-12-29,P07,27
2024-12-29,P08,34
2024-12-29,P09,48
2024-12-29,P10,27
2024-12-29,P11,20
2024-12-29,P12,34
2024-12-30,P01,36
2024-12-30,P02,42
2024-12-30,P03,48
2024-12-30,P04,44
2024-12-30,P05,30
2024-12-30,P06,27
2024-12-30,P07,24
2024-12-30,P08,30
2024-12-30,P09,36
2024-12-30,P10,24
2024-12-30,P11,17
2024-12-30,P12,31
2024-12-31,P01,36
2024-12-31,P02,42
2024-12-31,P03,48
2024-12-31,P04,44
2024-12-31,P05,30
2024-12-31,P06,28
2024-12-31,P07,24
2024-12-31,P08,30
2024-12-31,P09,35
2024-12-31,P10,23
2024-12-31,P11,17
2024-12-31,P12,31
2025-01-01,P01,36
2025-01-01,P02,41
2025-01-01,P03,47
2025-01-01,P04,44
2025-01-01,P05,31
2025-01-01,P06,28
2025-01-01,P07,24
2025-01-01,P08,34
2025-01-01,P09,34
2025-01-01,P10,23
2025-01-01,P11,17
2025-01-01,P12,31
